4-2-2024 Session 1,,,,,,,,,,,,,,,,,,,,,,,
Matchup ID,Matchup Type,Player,Opponent,W/L,MATCH 1,M1RW,M1RL,MATCH 2,M2RW,M2RL,MATCH 3,M3RW,M3RL,,,,,,,,,,
1,Quick,Jun,Paul,W,W,3,0,W,3,2,N/A,N/A,N/A,,,,,,,,,,
2,Quick,Jun,Dragunov,L,L,1,3,L,0,3,N/A,N/A,N/A,,,,,,,,,,
3,Quick,Jun,King,L,L,2,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
4,Quick,Jun,Kazuya,L,L,1,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
5,Quick,Jun,Devil Jin,L,W,3,0,L,0,3,L,0,3,,,,,,,,,,
6,Quick,Jun,Steve,L,L,1,3,L,1,3,N/A,N/A,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4-4-2024 Session 1 ,,,,,,,,,,,,,,,,,,,,,,,
Matchup ID,,,,,,,,,,,,,,,,,,,,,,,
1,Quick,Paul,Lili,L,L,0,3,L,0,3,N/A,N/A,N/A,,,,,,,,,,
2,Quick,Paul,Leo,L,L,0,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
3,Quick,Paul,Azucena,L,L,2,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
4,Quick,Paul,Xiaoyu,L,L,1,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
5,Quick,Paul,Leo,L,L,2,3,W,3,0,L,0,3,,,,,,,,,,
6,Quick,Paul,Zafina,W,L,2,3,W,3,2,W,3,1,,,,,,,,,,
7,Quick,Paul,Lili,W,W,3,2,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
8,Quick,Paul,Jack-8,W,W,3,0,L,2,3,W,3,2,,,,,,,,,,
9,Quick,Paul,Reina,W,L,2,3,W,3,2,W,3,1,,,,,,,,,,
10,Ranked,Paul,Jack-8,L,L,2,3,W,3,2,L,2,3,,,,,,,,,,
11,Ranked,Paul,Jack-8,T,L,2,3,W,3,2,N/A,N/A,N/A,,,,,,,,,,
12,Ranked,Paul,Paul,L,W,3,1,L,2,3,L,2,3,,,,,,,,,,
13,Ranked,Kazuya,Yoshi,L,L,2,3,L,0,3,N/A,N/A,N/A,,,,,,,,,,
14,Ranked,Kazuya,Eddy,L,W,3,0,L ,0,3,L,2,3,,,,,,,,,,
15,Ranked,Kazuya,Azucena,L,L,1,3,L ,2,3,N/A,N/A,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4-5-2024 Session 1 ,,,,,,,,,,,,,,,,,,,,,,,
Matchup ID,,,,,,,,,,,,,,,,,,,,,,,
1,Quick,Paul,Reina,W,W,3,1,L,2,3,W,3,0,,,,,,,,,,
2,Quick,Paul,Panda,T,L,2,3,W,3,2,N/A,N/A,N/A,,,,,,,,,,
3,Quick,Paul,Reina,T,W,3,0,L,0,3,N/A,N/A,N/A,,,,,,,,,,
4,Quick,Paul,Azucena,L,W,3,2,L,2,3,L,1,3,,,,,,,,,,
5,Ranked,Paul,Xiaoyu,W,W,3,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
6,Ranked,Paul,Paul,W,W,3,0,W,3,1,N/A,N/A,N/A,,,,,,,,,,
7,Ranked,Paul,Eddy,L,L,0,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
8,Ranked,Paul,Paul,T,W,3,1,L,1,3,N/A,N/A,N/A,,,,,,,,,,
9,Ranked,Jun,Devil Jin,L,L,0,3,L,1,3,N/A,N/A,N/A,,,,,,,,,,
10,Ranked,Jun,Dragunov,X,,,,,,,,,,,,,,,,,,,
11,Ranked,Jun,Eddy,W,W,3,0,W,3,2,N/A,N/A,N/A,,,,,,,,,,
12,Ranked,Jun,Leo,W,W,3,1,L,0,3,W,3,0,,,,,,,,,,
13,Ranked,Jun,Jin,W,L,2,3,W,3,1,W,3,1,,,,,,,,,,
14,Ranked,Jun,Bryan,W,W,3,1,W,3,2,N/A,N/A,N/A,,,,,,,,,,
